id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
1,1519.492497,1532.728939,1543.178147,1555.121684,1568.036371,1581.436453,1591.350823,1602.938532,1615.065458,1631.032167,1650.696423,1669.524712,1683.057761,1699.118867,1712.38297,1726.968916,1738.71215,1747.83513,1762.203337,1773.679155
2,40,40,40,40,40,134,648,24,43,43,43,43,43,43,43,43,43,43,43,43
3,3240.537485,3246.081816,3266.609152,3278.688823,3286.761852,3282.847728,3215.168614,3183.807314,3161.379108,3109.570812,3085.171666,3049.913912,2990.139152,1527.097817,1581.596369,1666.419366,1737.550517,1818.024096,1897.967085,2007.1077
4,1551.7127,1575.388701,1602.536517,1636.447851,1668.828263,1692.242418,1700.350603,1717.113375,1738.769992,1761.976438,1784.779081,1807.802191,1829.525084,1843.944692,1870.377891,1899.681319,1925.335691,1944.332396,1962.368083,1985.268643
5,2196.052102,2190.171775,2232.692138,2285.470954,2300.210523,2262.779118,2192.478749,2175.24321,2161.398977,2154.032208,2149.357835,2157.356543,2165.957254,2155.351103,2160.138298,2166.539808,2181.564481,2202.178948,2227.262784,2255.35078
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2876.770662,2892.956528,2891.645136,2915.625827,2928.386523,2906.504421,2875.303835,2804.74048,2751.63848,2699.39724,2718.705987,2741.83418,2759.209582,2764.576871,2803.175081,2846.384653,2891.342595,2924.407164,2957.270166,2985.598602
8,2366.097507,2368.553304,2383.556497,2392.998989,2420.491851,2414.845883,2410.257628,2402.310303,2408.893999,2426.524635,2449.033551,2468.37752,2495.1705,2519.990471,2550.559461,2583.706667,2610.561045,2635.48996,2661.014267,2692.852596
9,2270.409305,2271.888313,2282.874437,2298.005195,2318.170798,2330.054286,2332.936826,2325.692062,2329.116198,2327.175829,2333.181362,2349.456308,2365.668823,2380.168464,2400.348762,2409.376585,2415.364479,2412.567021,2414.386403,2436.14561
10,2234.423784,2238.407626,2259.023916,2284.17605,2324.860176,2341.661918,2343.879561,2339.829783,2346.863394,2354.089044,2377.608719,2401.734261,2432.042422,2455.200817,2489.814449,2521.514302,2541.653922,2557.082584,2578.486219,2607.051212
11,2788.140162,2782.4878,2794.300799,2830.948346,2871.834109,2865.699832,2853.779397,2845.295507,2829.48104,2828.495059,2852.919937,2880.040449,2907.778242,2931.749722,2963.44036,2992.248509,3019.923501,3047.739513,3065.337692,3078.546729
12,2182.560206,2210.272201,2243.863467,2274.432169,2300.257651,2300.577882,2295.362721,2283.588565,2260.809907,2273.470538,2281.03423,2279.754395,2284.690516,2283.965737,2302.23277,2311.950444,2329.931822,2344.702317,2363.428291,2380.581976
13,3007.788051,3033.226492,3067.504989,3113.720427,3132.489994,3146.816088,3087.215888,3050.387715,2989.407696,2958.815604,2995.742005,3039.233987,3077.748662,3096.089351,3135.835681,3171.34481,3200.500348,3216.291026,3248.241589,3185.455142
14,2940.197323,2985.607706,3035.157148,3061.748795,3098.701045,3118.220292,3104.525718,3111.959007,3101.808381,3048.315212,3033.37087,3019.331141,3007.187147,2975.068838,2959.989308,2947.724124,2925.925407,2933.103683,2935.79745,2941.384298
15,2625.552827,2642.941715,2669.406449,2696.220313,2724.002813,2736.018263,2717.540017,2726.676442,2736.021894,2717.214088,2731.887856,2747.685585,2759.383241,2757.536391,2775.071683,2791.410368,2800.626664,2813.096917,2821.032486,2843.18175
16,2179.619966,2202.960962,2238.84581,2277.89359,2313.679399,2343.011369,2356.769132,2376.306326,2394.565869,2407.611423,2429.898175,2452.609727,2465.317944,2356.14025,2388.223986,2422.863667,2469.301566,2491.069619,2508.379595,2534.62778
17,2564.488191,2579.557811,2609.208141,2623.972926,2625.425933,2591.563384,2529.726122,2509.942555,2494.820023,2487.742074,2484.574229,2487.999509,2482.927062,2459.810109,2465.850455,2483.612206,2499.562266,2509.920788,2518.427781,2543.298485
18,2000.576983,2007.793969,2029.971593,2043.170972,2060.209053,2049.55342,2017.776741,2025.175427,2032.106231,2044.977018,2062.26861,2087.105398,2109.465641,2111.455171,2136.525672,2160.841572,2185.821785,2210.303172,2235.797444,2262.646695
19,1363.8724,1363.842947,1381.938298,1405.393472,1436.420596,1433.495318,1421.376344,1450.52484,1472.275223,1493.12883,1521.707348,1549.919321,1583.309382,1597.814629,1633.055733,1665.962973,1696.199444,1724.528569,1746.76303,1777.856071
20,595.7488667,610.411535,623.7256955,640.7304943,662.230312,674.6692376,689.4752885,703.4747116,713.0694855,728.0475909,743.7001184,760.4552437,783.2547921,801.5902798,814.5130998,823.1091176,832.339606,838.303351,840.6772394,844.1354289
21,1062.15629,1101.468354,1128.56407,1160.76537,1185.856429,1217.594763,1246.184539,1273.622195,1293.182272,1303.341646,1320.683292,1336.17061,1355.281445,1371.144458,1378.342466,1381.783313,1393.797011,1394.536737,1399.200498,1400.645081
22,562.2689076,570.204077,581.8853719,593.0972473,602.7599188,607.5782481,614.6513823,621.8431461,624.0226915,627.5922679,635.9057662,644.9430238,649.2241147,653.1905402,659.4950651,670.1804933,676.5775785,685.6627803,695.624411,700.4082641
23,1820.776756,1840.441197,1867.8474,1902.455431,1941.160133,1966.672383,1978.385493,1987.17017,2003.699127,2017.435717,2033.719195,2051.840459,2076.185027,2094.997967,2121.280049,2143.053916,2147.279119,2176.150158,2201.766873,2238.074812
24,2043.902171,2049.75897,2064.314704,2079.029244,2100.05538,2112.307513,2117.186101,2116.766321,2126.236969,2120.710959,2127.936161,2141.741518,2163.462926,2176.176693,2196.360173,2221.526754,2246.785836,2274.85566,2297.785117,2336.426979
25,1621.007772,1635.433436,1657.676255,1681.719007,1708.666105,1698.56392,1686.572304,1682.77626,1694.12488,1706.027503,1725.727675,1749.844646,1780.206927,1802.484553,1832.605412,1862.278211,1893.141508,1926.181858,1952.189207,1989.802585
26,1574.759191,1582.445874,1596.60374,1614.896069,1636.919142,1641.824524,1645.310648,1649.151033,1661.737965,1665.263234,1675.867141,1690.18849,1708.624434,1722.298154,1740.690177,1761.814653,1778.090969,1782.266654,1782.797345,1812.760597
